Designator,Footprint,Quantity,Value,LCSC Part #
A1,Electrosmith_Daisy_Seed,1,Electrosmith_Daisy_Seed_Rev7,
"C1, C10, C12, C14, C25, C3, C35, C36, C37, C38, C39, C40, C41, C42, C51, C52, C53, C57",0805,18,100nF,
C11,CP_Elec_8x10,1,470uF,
"C13, C17, C23, C43, C44, C45, C46, C47, C48, C49, C50, C54, C55",1206,13,10uF,
C15,1206,1,2.2uF,
"C16, C18, C8, C9",CP_Elec_5x5.8,4,10uF,
C19,0805,1,100n,
"C2, C27, C28, C29",1206,4,100nF,
"C20, C21",CP_Elec_6.3x5.4,2,47uF,
"C4, C5",0805,2,1n,
C56,CP_Elec_6.3x7.7,1,100uF,
"C6, C7",1206,2,100n,
"D1, D17, D18, D19, D2, D3, D4, D5, D6, D7, D8",LED_RGB_5050-6,11,APA102,
"D12, D13, D15, D16",D_SOD-123,4,1N4148W,
D9,D_SMA,1,SS14,
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,PWR,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,JACK_IN_R,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,JACK_IN_L,
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,FW_1,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,FW2,
J6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,JACK_OUT_R,
J7,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,JACK_OUT_L,
"K1, K2",TQ2SA,2,TQ2SA-L2-5V,
L1,SRR7045680M,1,68uH,
"POT1, POT2, POT3, POT4, POT5, POT6, POT7, POT8",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,8,POT,
"Q1, Q2",SOT-23_Handsoldering,2,SI2302-TP,
"R1, R18, R2, R5",0805,4,2M2,AC0805FR-072M2L
"R10, R53, R54, R9",0805,4,2M2,
"R11, R12, R21, R22, R26, R27, R28, R29",0805,8,330R,
"R13, R14",0805,2,100k,
"R15, R50, R6",0805,3,47R,
"R16, R17, R19, R20",0805,4,1k,
"R23, R24",0805,2,1M,
"R4, R49, R51, R52",0805,4,10k,
"R7, R8",0805,2,4k7,
"U1, U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,3,LME49721,
U10,SOIC-14_3.9x8.7mm_P1.27mm,1,74HCT125D,
U11,SOT-89-3_Handsoldering,1,AP7375-50Y-13,
U5,R78E5010,1,R-78E5.0-1.0,
"U6, U7",SOP-4_3.8x4.1mm_P2.54mm,2,CPC1018N,
"U8, U9",SOT-23-5_HandSoldering,2,SN74AHCT1G125DBVR,
