Designator,Mid X,Mid Y,Rotation,Layer
A1,146.0,-120.335,270.0,top
C1,159.315799,-123.9189,90.0,bottom
C10,147.437294,-87.953835,0.0,top
C11,189.495276,-117.799975,270.0,top
C12,184.735,-124.145,90.0,top
C13,157.43,-131.765,0.0,top
C14,117.584623,-78.425,0.0,top
C15,157.43,-143.195,180.0,top
C16,181.56,-91.76,180.0,top
C17,152.985,-136.5025,90.0,bottom
C18,110.44,-91.76,0.0,top
C19,168.6275,-124.78,180.0,top
C2,170.13,-84.4825,90.0,top
C20,151.588,-87.696,90.0,bottom
C21,140.412,-87.69,90.0,bottom
C23,169.1525,-121.605,180.0,top
C25,191.007541,-112.715,0.0,bottom
C27,181.56,-86.68,180.0,top
C28,121.87,-84.4825,90.0,top
C29,110.44,-86.68,0.0,top
C3,180.925,-81.3675,90.0,top
C35,140.285,-116.525,180.0,bottom
C36,137.11,-135.3425,270.0,bottom
C37,186.2375,-89.855,180.0,bottom
C38,166.0875,-89.855,0.0,bottom
C39,132.665,-123.9125,90.0,bottom
C4,148.54,-101.285,0.0,top
C40,101.0,-112.720689,0.0,bottom
C41,105.7625,-89.855,0.0,bottom
C42,125.9125,-89.855,180.0,bottom
C43,186.64,-115.5975,270.0,bottom
C44,164.2625,-122.875,0.0,bottom
C45,185.7125,-85.41,180.0,bottom
C46,166.6125,-85.41,0.0,bottom
C47,127.726197,-122.875,180.0,bottom
C48,105.36,-115.5975,270.0,bottom
C49,106.2875,-85.41,0.0,bottom
C5,143.46,-101.285,180.0,top
C50,125.3875,-85.41,180.0,bottom
C51,125.68,-142.56,90.0,top
C52,142.19,-142.56,90.0,top
C53,162.256,-142.56,90.0,top
C54,146.0145,-74.004,180.0,top
C55,146.0,-77.028,180.0,top
C56,153.62,-75.504,180.0,top
C57,151.08,-68.63,270.0,top
C6,155.1825,-105.095,0.0,top
C7,136.8175,-105.095,180.0,top
C8,150.794365,-83.219365,135.0,top
C9,141.205635,-83.219365,45.0,top
D1,131.0,-117.75,270.0,bottom
D12,126.95,-93.285,270.0,bottom
D13,135.205,-93.285,270.0,bottom
D15,156.795,-93.285,270.0,bottom
D16,165.05,-93.285,270.0,bottom
D17,165.0,-142.3424,90.0,bottom
D18,146.0,-142.3424,90.0,bottom
D19,127.0,-142.3424,90.0,bottom
D2,101.0,-117.75,90.0,bottom
D3,101.0,-87.75,90.0,bottom
D4,131.0,-87.75,270.0,bottom
D5,161.0,-117.75,270.0,bottom
D6,191.0,-117.75,90.0,bottom
D7,191.0,-87.75,90.0,bottom
D8,161.0,-87.75,270.0,bottom
D9,180.925,-129.225,0.0,top
J1,189.449999,-127.955,180.0,top
J2,119.329999,-92.395,180.0,top
J3,172.669999,-92.395,180.0,top
J4,125.765,-133.669999,90.0,top
J5,166.235,-133.670001,270.0,top
J6,119.330001,-97.475,0.0,top
J7,172.670001,-97.475,0.0,top
K1,161.24,-89.855,270.0,top
K2,130.76,-89.855,270.0,top
L1,158.065,-137.48,270.0,top
POT1,187.61,-74.75,180.0,bottom
POT2,164.39,-74.75,0.0,bottom
POT3,127.61,-74.75,180.0,bottom
POT4,104.39,-74.75,0.0,bottom
POT5,187.61,-104.75,180.0,bottom
POT6,164.39,-104.75,0.0,bottom
POT7,127.61,-104.75,180.0,bottom
POT8,104.39,-104.75,0.0,bottom
Q1,141.555,-100.015,270.0,bottom
Q2,150.445,-100.015,270.0,bottom
R1,122.775,-80.33,180.0,top
R10,143.46,-97.475,180.0,top
R11,152.35,-89.855,90.0,top
R12,139.65,-89.855,90.0,top
R13,152.35,-94.665,270.0,top
R14,139.65,-94.665,270.0,top
R15,156.16,-68.63,270.0,top
R16,137.11,-107.27,270.0,bottom
R17,144.73,-107.27,90.0,bottom
R18,111.075,-81.33,270.0,top
R19,139.65,-107.27,90.0,bottom
R2,169.225,-80.33,0.0,top
R20,142.19,-107.27,90.0,bottom
R21,138.38,-124.145,0.0,bottom
R22,153.62,-119.065,180.0,bottom
R23,145.365,-100.38,270.0,bottom
R24,154.255,-100.38,270.0,bottom
R26,138.38,-120.335,0.0,bottom
R27,129.49,-133.67,270.0,bottom
R28,133.3,-131.13,0.0,bottom
R29,153.62,-122.875,180.0,bottom
R4,183.465,-97.475,270.0,top
R49,179.655,-97.475,270.0,top
R5,175.845,-86.68,0.0,top
R50,116.155,-86.68,180.0,top
R51,112.345,-97.475,270.0,top
R52,108.535,-97.475,270.0,top
R53,154.62,-101.285,180.0,top
R54,137.38,-101.285,0.0,top
R6,174.305,-78.425,0.0,top
R7,148.54,-105.095,0.0,top
R8,143.46,-105.095,180.0,top
R9,148.54,-97.475,0.0,top
U1,175.845,-82.235,270.0,top
U10,146.0,-120.335,270.0,bottom
U11,139.0655,-75.504,0.0,top
U2,116.155,-82.235,270.0,top
U3,146.0,-91.76,270.0,top
U5,150.445,-137.48,90.0,top
U6,162.51,-104.46,90.0,top
U7,129.49,-104.46,90.0,top
U8,133.3,-135.02,90.0,bottom
U9,140.92,-135.02,90.0,bottom
